#sysbench OLTP read-only, 14 reads per TRX, 32 tables
#95%ile of transaction time [ms]
#
#thread count       	1	8	16	32	64	128	256	512	1024	2048	4096
mariadb-5.5.20      	---	---	---	---	---	---	---	---	---	---	---
mariadb-10.2.9      	1.6100	1.6900	1.8100	3.0900	6.1900	12.230	24.300	50.330	159.09	358.38	714.71
mariadb-10.2.10     	1.5500	1.7300	1.8100	3.0400	6.1600	12.090	24.610	73.250	165.70	374.73	606.04
mariadb-10.2.11     	1.5200	1.7300	1.8100	3.0600	6.0800	12.240	24.230	76.360	165.85	364.22	474.56
mariadb-10.2.12     	1.5600	1.6700	1.8300	3.0900	6.0800	12.230	24.750	78.990	164.07	367.40	732.47
mariadb-10.2.13     	1.5200	1.6700	1.8100	3.0500	6.0200	11.900	24.290	79.470	159.43	359.78	572.87
mariadb-10.3.0      	1.6100	1.7000	1.8200	3.0600	6.0400	12.110	24.540	53.750	161.25	354.86	577.00
mariadb-10.3.1      	1.6300	1.7000	1.8300	3.1700	6.3300	12.430	25.180	77.930	176.88	371.38	837.33
mariadb-10.3.2      	1.7200	1.7100	1.8600	3.1100	6.2300	12.520	25.170	77.960	165.36	365.53	607.67
mariadb-10.3.4      	1.5800	1.7600	1.8600	3.1400	6.2000	12.240	25.020	84.720	170.48	344.19	751.57
mariadb-10.3.5      	1.6500	1.7900	1.8600	3.1200	6.1600	12.300	24.880	71.480	172.02	348.65	646.71
